0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,cry_type
-405.8760070800781,27.12164306640625,-42.24820327758789,-0.34693771600723267,-33.40462875366211,4.665828704833984,-17.678110122680664,2.7751893997192383,-8.659680366516113,-9.639954566955566,-9.528885841369629,2.9254961013793945,12.073722839355469,0.16396772861480713,0.2081994265317917,0.42490851879119873,0.49235180020332336,0.4269256293773651,0.3479864299297333,0.4111858308315277,0.3697974979877472,0.21551655232906342,0.16927936673164368,0.16711308062076569,0.1702391356229782,23.726071442271238,10.42152828970326,13.691574473286373,20.18793154359357,22.503642280368247,19.154885672486504,21.95036434662388,0.24776656539351852,belly_pain
-383.83685302734375,38.426849365234375,-19.573413848876953,-8.295806884765625,-19.087879180908203,-19.339637756347656,-16.694019317626953,-14.295870780944824,-14.658415794372559,-14.466267585754395,-15.466560363769531,-7.020198822021484,-10.439177513122559,0.3101411759853363,0.3010374903678894,0.31576114892959595,0.3649698495864868,0.4323086738586426,0.5278016924858093,0.5378572940826416,0.48725390434265137,0.3913254141807556,0.34567973017692566,0.3254300653934479,0.29599884152412415,11.554748474239549,13.708794692824023,14.322495721382904,19.446637237809647,19.711028620729238,18.645978236622618,16.434953308979704,0.2068270596590909,belly_pain
-304.1750793457031,41.77836608886719,-26.645771026611328,-17.834064483642578,-29.084251403808594,-16.714412689208984,-19.668498992919922,-15.114858627319336,-17.23432731628418,-9.661561012268066,-10.691088676452637,-6.565114974975586,-10.446558952331543,0.36409568786621094,0.32136109471321106,0.4237675666809082,0.547542154788971,0.5059787631034851,0.332095742225647,0.29193180799484253,0.46744516491889954,0.40983638167381287,0.36809462308883667,0.3496825695037842,0.3966418206691742,11.580702688296029,13.583716801171526,15.310788583712196,17.35207936068648,17.07550808235706,15.94648965478181,16.151733477585623,0.21482155539772727,belly_pain
-252.53750610351562,35.87653732299805,-35.229087829589844,-20.08747100830078,-29.121030807495117,-21.32464027404785,-22.387121200561523,-8.064093589782715,-21.7066650390625,-13.885672569274902,-8.50555419921875,-0.132468581199646,-0.6432790756225586,0.31026357412338257,0.3011133372783661,0.31613072752952576,0.385450154542923,0.3875832259654999,0.4236662983894348,0.379886656999588,0.4866786301136017,0.5506422519683838,0.5381600260734558,0.37623539566993713,0.30690431594848633,10.686113829251202,13.359206198778967,15.10509959194111,18.543289117186653,18.942244936596786,17.689737989815495,17.285529357849295,0.23513849431818182,belly_pain
-171.50912475585938,41.750736236572266,-15.136597633361816,-21.78959083557129,-37.22489929199219,-26.0839900970459,-20.842267990112305,-14.546899795532227,-14.981940269470215,-10.887065887451172,-10.158533096313477,-4.346590042114258,-6.528755187988281,0.27246132493019104,0.33074161410331726,0.2800557613372803,0.2557196617126465,0.2750856578350067,0.29313382506370544,0.3068033754825592,0.3655257225036621,0.5434159636497498,0.6467549204826355,0.5463430881500244,0.40202775597572327,10.769298397313587,14.481064719566122,15.182371220111087,17.72396902609511,17.084410394117143,15.33756098175835,15.646248237491447,0.20705344460227273,belly_pain
-253.01280212402344,12.286332130432129,-23.774856567382812,-21.095436096191406,-25.712902069091797,-8.218640327453613,-15.8965482711792,-3.5401506423950195,-15.873190879821777,-9.256997108459473,-9.103106498718262,-4.828219413757324,-2.4533193111419678,0.304691344499588,0.3149218261241913,0.3578244149684906,0.4087739884853363,0.5370967388153076,0.5545188784599304,0.5338491201400757,0.473482221364975,0.3955164849758148,0.3964705765247345,0.37586861848831177,0.3644546866416931,11.001011021862979,13.474402235922035,14.065238642382946,18.186920070319108,19.10866131201336,16.34465121109424,17.634840669332124,0.2911088423295455,belly_pain
-286.06768798828125,35.96877670288086,-8.508418083190918,-21.856731414794922,-26.968074798583984,-26.799402236938477,-24.480300903320312,-19.031469345092773,-16.214439392089844,-14.59510612487793,-7.191837787628174,7.341651439666748,5.705965995788574,0.13851651549339294,0.16379490494728088,0.118573859333992,0.21735762059688568,0.27516669034957886,0.3003672659397125,0.35086381435394287,0.38380756974220276,0.3759845793247223,0.4417187571525574,0.3482229709625244,0.1997460573911667,10.700625260579693,13.213251889996483,14.873191640869905,22.690978212016013,19.516461163472922,15.879057462588785,15.7601851554008,0.18448597301136363,belly_pain
-374.42974853515625,62.808082580566406,-15.663871765136719,-15.97738265991211,-25.642393112182617,-19.057483673095703,-22.40447235107422,-15.582701683044434,-8.043988227844238,-8.955859184265137,-9.61336898803711,-3.2104411125183105,-2.4101345539093018,0.26705992221832275,0.3619527518749237,0.37270984053611755,0.33244141936302185,0.31085404753685,0.3129284679889679,0.47779837250709534,0.39439696073532104,0.3011152148246765,0.33220812678337097,0.23002251982688904,0.27151843905448914,12.159088459534713,12.088728620259431,16.467696837531772,18.794576674532138,18.24860639223324,15.945004127743495,15.074243185825695,0.15779030539772726,belly_pain
-283.2803649902344,18.541217803955078,0.6882140636444092,-34.205196380615234,-21.659469604492188,-24.454397201538086,-19.10822296142578,-14.698356628417969,-15.293091773986816,-8.801238059997559,-2.7222602367401123,9.429682731628418,11.1241455078125,0.17647847533226013,0.16453702747821808,0.19277732074260712,0.2511657476425171,0.23918773233890533,0.22474387288093567,0.27418485283851624,0.40051180124282837,0.3668508231639862,0.4267882704734802,0.269924521446228,0.16830739378929138,10.509349097246359,11.575918164061937,16.629247694847425,23.989296187800903,19.770883793885726,15.504309703401923,17.312081454682158,0.186767578125,belly_pain
-119.30599212646484,28.296003341674805,-32.92665100097656,-32.281368255615234,-23.559890747070312,-12.247207641601562,-2.1667654514312744,-4.802995204925537,-10.814644813537598,-7.158371925354004,-10.734648704528809,-1.1721163988113403,3.5531928539276123,0.23688744008541107,0.26830965280532837,0.25279906392097473,0.21868927776813507,0.2761417627334595,0.40641218423843384,0.5174997448921204,0.32993218302726746,0.24511153995990753,0.26858144998550415,0.2987160086631775,0.22208160161972046,12.782392469784432,11.739281731152113,15.161172721489956,22.262875187710517,24.631044542196157,19.31358979750813,17.63869699523451,0.21594016335227273,belly_pain
